Format Version,1.24,Take Name,Take 2025-12-08 03.08.47 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-08 03.08.47.599 PM,Capture Start Frame,498529,Total Frames in Take,7393,Total Exported Frames,7393,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.016938,-0.221330,0.069152,-0.972597,2037.936157,1320.024658,1368.125977,2071.626465,1337.611084,1370.347290,2092.407471,1341.260376,1296.708496,2000.824951,1350.719727,1395.812012,1967.505737,1295.216309,1384.389893,2057.376953,1275.532471,1393.155273,2071.565674,1338.560547,1370.298950,2092.346191,1341.138184,1296.921143,2000.499268,1350.737671,1395.473267,1967.984863,1295.580566,1384.684937,2057.419922,1271.766602,1392.722778,-4687.848145,1030.138672,-2074.008789,-4303.371094,1030.210205,-2420.117676,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.018829,-0.223836,0.068616,-0.972026,2037.893066,1320.624023,1369.867188,2071.589844,1338.208374,1372.000366,2092.013428,1342.177368,1298.277954,2000.910278,1351.192017,1397.863892,1967.547119,1295.730713,1386.365845,2057.463867,1276.029419,1394.611084,2071.491211,1338.817871,1371.820557,2091.855957,1342.164917,1298.580078,2000.734985,1350.953369,1397.436035,1967.866455,1296.283691,1386.570435,2057.729248,1274.482056,1394.749756,-4687.799805,1030.244751,-2073.847168,-4303.564941,1030.308594,-2420.062012,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.017088,-0.223905,0.069010,-0.972014,2037.445557,1321.301514,1371.478271,2071.143066,1338.893677,1373.535767,2091.537354,1342.601196,1299.791748,2000.473511,1351.968262,1399.380859,1967.106567,1296.465942,1388.093018,2057.026611,1276.795288,1396.372681,2070.751221,1339.733643,1373.245117,2091.465332,1342.470093,1300.105591,2000.389160,1351.767212,1399.192139,1967.404785,1296.979248,1388.184082,2057.412598,1275.259399,1396.424316,-4687.421387,1030.591431,-2073.567383,-4303.332031,1030.706909,-2419.845947,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.017143,-0.224525,0.070502,-0.971763,2036.833252,1321.860229,1372.719849,2070.584961,1339.354248,1374.723145,2090.889648,1342.967529,1300.949707,1999.989380,1352.648438,1400.658325,1966.444336,1297.239136,1389.442017,2056.317627,1277.308228,1397.608521,2070.271484,1340.157104,1374.382812,2090.765869,1342.856689,1301.299927,1999.798340,1352.558716,1400.471924,1966.772705,1297.767822,1389.553467,2056.761475,1275.149170,1397.670776,-4686.974121,1030.908691,-2073.333252,-4303.043457,1031.041138,-2419.570068,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.018389,-0.226976,0.070594,-0.971164,2036.126343,1322.488647,1373.825439,2069.900391,1339.952515,1375.712646,2089.848877,1343.753540,1301.851685,1999.441650,1353.227051,1402.026978,1965.801270,1297.873413,1390.821777,2055.698242,1277.854248,1398.496582,2069.876465,1340.630005,1375.514038,2089.689697,1343.666016,1302.120972,1999.140259,1353.161377,1401.803955,1966.065308,1298.345093,1390.898193,2056.340088,1275.513062,1398.647095,-4686.970215,1030.820557,-2073.410645,-4303.054688,1030.993652,-2419.658447,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.017443,-0.228021,0.069350,-0.971027,2035.571045,1323.075317,1374.984985,2069.299316,1340.637817,1376.779053,2089.075684,1344.413208,1302.870361,1998.859985,1353.740112,1403.232178,1965.354004,1298.277832,1392.162231,2055.324219,1278.524902,1399.663208,2069.311035,1341.377808,1376.809814,2088.915771,1344.325928,1303.094482,1998.501953,1353.761841,1402.920776,1965.691040,1298.674683,1392.328125,2055.817871,1276.052002,1399.657959,-4687.487793,1030.389160,-2073.843994,-4303.167969,1030.557617,-2420.003174,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.017998,-0.229794,0.069001,-0.970623,2035.035156,1323.623047,1376.305176,2068.761719,1341.197510,1378.006226,2088.275146,1345.091797,1304.033936,1998.411011,1354.229736,1404.727905,1964.889771,1298.769653,1393.693604,2054.894775,1279.044312,1400.846802,2068.787842,1341.984009,1378.101074,2088.078857,1345.020996,1304.324707,1998.116089,1354.200317,1404.279541,1965.253662,1299.201782,1393.971436,2055.240234,1276.603149,1400.734863,-4687.754883,1030.162231,-2074.061035,-4303.371582,1030.248047,-2420.167236,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.019178,-0.231441,0.069070,-0.970204,2034.405762,1324.191162,1377.782227,2068.149658,1341.738647,1379.418213,2087.426758,1345.805176,1305.393188,1997.894409,1354.751099,1406.399658,1964.300049,1299.341309,1395.334839,2054.314209,1279.537842,1402.147949,2068.183594,1342.264526,1379.326904,2087.196533,1345.802490,1305.744629,1997.634033,1354.678467,1405.875488,1964.593750,1299.777832,1395.561890,2054.638184,1277.808838,1402.169312,-4687.852539,1030.171265,-2073.949463,-4303.534668,1030.205200,-2420.106934,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.016893,-0.231204,0.067543,-0.970411,2033.427490,1324.906006,1379.041016,2067.099854,1342.595703,1380.620850,2086.382812,1346.461060,1306.586548,1996.784180,1355.425781,1407.532471,1963.417358,1299.839355,1396.666748,2053.508545,1280.425537,1403.580688,2066.882812,1343.191040,1380.385132,2086.143066,1346.457031,1307.083130,1996.541626,1355.353271,1407.061890,1963.704468,1300.329102,1396.889893,2053.847412,1278.794800,1403.680664,-4687.259277,1030.659912,-2073.585693,-4303.239746,1030.635376,-2419.807861,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.017576,-0.231718,0.068925,-0.970179,2032.473267,1325.411621,1380.105957,2066.200195,1342.998779,1381.663452,2085.416748,1346.862549,1307.611816,1995.952393,1356.019897,1408.659302,1962.406738,1300.542480,1397.786865,2052.446289,1280.852173,1404.590332,2066.049316,1343.462646,1381.440796,2085.197021,1346.869873,1307.912231,1995.744873,1355.949097,1408.313599,1962.714233,1301.068237,1397.864258,2052.766846,1278.978638,1404.928101,-4687.104004,1030.807739,-2073.356445,-4303.084473,1030.919556,-2419.607178,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.017259,-0.231639,0.069806,-0.970141,2031.326294,1326.112915,1380.960815,2065.080811,1343.648560,1382.502197,2084.307617,1347.405762,1308.447876,1994.851685,1356.807861,1409.480347,1961.219727,1301.371948,1398.663086,2051.227783,1281.547485,1405.492432,2065.031006,1344.258911,1382.332886,2084.138672,1347.345825,1308.706421,1994.588623,1356.793823,1409.243286,1961.522705,1301.800537,1398.731445,2051.748047,1279.378906,1405.670410,-4687.023438,1030.829346,-2073.391602,-4303.084961,1030.987915,-2419.610107,,,,,,,,,,,,,,,,,,,,,
