time,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
0.008333,-0.06647754948320461,0.35966976729198397,-0.017402326444434735,-3.8088830177597113,20.607559684283142,-0.9970798589750144
0.016667,-0.07203740497733868,0.3559273940669532,-0.013367186513734808,-4.1274392722762165,20.393137493126115,-0.7658833712011971
0.025,-0.07141726648844227,0.359427393793895,-0.009747964778755502,-4.091907954148831,20.59367270577682,-0.5585172406648675
0.033333,-0.07136974971906884,0.3607206226360109,-0.009351314882856343,-4.089185443807637,20.66776926037465,-0.5357908756855423
0.041667,-0.07027928961044871,0.3619798627643467,-0.014849259370142143,-4.026706681856327,20.739918405121806,-0.8507998908042359
0.05,-0.06469386776717734,0.3631176796417852,-0.017570901611523748,-3.706685583436696,20.805110510057787,-1.0067385045799275
0.058333,-0.0702624496199098,0.3577751251980519,-0.018479411798270284,-4.0257418214714065,20.499004688613002,-1.0587923039251463
0.066667,-0.07434654955708364,0.3562591758465461,-0.014826821631430676,-4.259743510981113,20.412147188816128,-0.8495143030742516
0.075,-0.07326241325292937,0.35898178598724195,-0.011950224272172072,-4.197627076336161,20.56814125913752,-0.6846974150302557
0.083333,-0.07482028792322826,0.3605079317214368,-0.012188298109751194,-4.286886719954622,20.655582968628778,-0.6983380411360225
0.091667,-0.07273084348204151,0.3618296798997851,-0.017170670890122697,-4.167170371947551,20.731313560827243,-0.983806973412171
0.1,-0.0666945552576319,0.3637458634884778,-0.01946841253031595,-3.821316532764363,20.841102793231567,-1.1154578718067116
0.108333,-0.07168967817780736,0.35899645961830773,-0.016670558837493132,-4.107515994239479,20.56898199626772,-0.9551526635128724
0.116667,-0.07395166782033602,0.35912012325930287,-0.012129518511177828,-4.2371184540586775,20.576067400975965,-0.6949702182162955
0.125,-0.07023367640359268,0.36169940779180054,-0.01029808961927925,-4.024093237613419,20.723849518851456,-0.5900370722321857
0.133333,-0.07017692507290185,0.3623110262957059,-0.012047197339218219,-4.020841625883083,20.758892677797338,-0.690253562498439
0.141667,-0.06623025443128316,0.3637191286242263,-0.01688343352988486,-3.7947140549901435,20.839570998344097,-0.9673494849520642
0.15,-0.06402503325900266,0.3633159846122016,-0.01933852390675206,-3.668364188925579,20.816472547919112,-1.1080158018697372
0.158333,-0.07080348239483403,0.35837594347268786,-0.015109734215667636,-4.056740716052817,20.533429040003977,-0.8657240001221688
0.166667,-0.07327992871496569,0.3587158764999381,-0.012043034223033544,-4.198630638387065,20.55290576778252,-0.6900150335114347
0.175,-0.07199708430335061,0.35992291940192533,-0.010778902772740295,-4.125129067829577,20.622064231757612,-0.6175856366598796
0.183333,-0.07142428090248565,0.3599156255975058,-0.013497623387266344,-4.092309850469274,20.62164632754778,-0.7733568535474359
0.191667,-0.06642694122243409,0.3610172172845143,-0.017183714972680342,-3.8059833780090626,20.684762881960065,-0.9845543442903443
0.2,-0.06532874995199212,0.3599476242320252,-0.01923453223389071,-3.7430616531146277,20.623479714255925,-1.102057517910277
0.208333,-0.07209251367131486,0.3560851613973848,-0.013334189031605437,-4.130596767855529,20.40217689530489,-0.7639927547406258
0.216667,-0.07234249390269021,0.35818011046756015,-0.011014986913675084,-4.14491958007504,20.522208635320798,-0.6311122615454148
0.225,-0.06907432876589059,0.35988967006523676,-0.010469202102630248,-3.9576675109846273,20.620159185093748,-0.5998410953502006
0.233333,-0.06841124261011888,0.35947333257350333,-0.014487042152859786,-3.9196754728053538,20.59630480396436,-0.8300463729869838
0.241667,-0.06252251202237602,0.3612995359639215,-0.017689664761048274,-3.582276063438095,20.700938550767802,-1.013543131809364
0.25,-0.0618246130107476,0.36037602118035017,-0.01838620139152658,-3.542289395545435,20.64802505135123,-1.0534517410120343
0.258333,-0.06895015807270966,0.35742647804603034,-0.012413193219400487,-3.9505530543261456,20.479028678262914,-0.7112235817520588
0.266667,-0.06755864185153282,0.36074001192808436,-0.011227591917947422,-3.87082504772872,20.66888018497821,-0.6432936309935805
0.275,-0.06566036671515896,0.36314734429188245,-0.01194725604637048,-3.762061894059877,20.80681016930909,-0.6845273482191827
0.283333,-0.06604236154297283,0.36385585428092626,-0.016880007403260233,-3.7839485854894384,20.84740480142416,-0.9671531823563956
0.291667,-0.06208928333728281,0.365558564469445,-0.01910276410177092,-3.557453888218252,20.94496290896021,-1.0945077600654907
0.3,-0.06486928820934335,0.3626474333940899,-0.01768885393527242,-3.7167364344131273,20.77816738473298,-1.0134966749144871
0.308333,-0.07134903406755111,0.36033081281545165,-0.012374355693176575,-4.0879985244058075,20.645434802843855,-0.7089983554127001
0.316667,-0.06643610250537968,0.3643399364366213,-0.010625078185741543,-3.8065082808567703,20.875140665883084,-0.6087721370395082
0.325,-0.06636149662541069,0.3658390843717523,-0.012349581200905568,-3.8022336788076876,20.96103551543184,-0.7075788815659918
0.333333,-0.063294075428594,0.36759600506588996,-0.017863450777755308,-3.6264833902411233,21.061699656145123,-1.023500337105067
0.341667,-0.059938499675039836,0.36772450625577147,-0.02068637591474376,-3.4342230617260388,21.069062231987743,-1.185242033335895
0.35,-0.06407058430408519,0.36370761780830785,-0.018304222893016142,-3.670974071561218,20.83891147717322,-1.0487547190365667
0.358333,-0.070341173787412,0.3615976870002211,-0.014960558374965682,-4.030252384014964,20.718021346805223,-0.857176854044631
0.366667,-0.06689587815859355,0.36480333060040615,-0.013295816981655051,-3.832851485308795,20.90169119571895,-0.7617941982272035
0.375,-0.06809308767433642,0.36513884766134397,-0.015830268908403333,-3.901446537753763,20.92091490726532,-0.9070075970086797
