Format Version,1.24,Take Name,Take 2025-12-08 02.40.56 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-08 02.40.56.675 PM,Capture Start Frame,298011,Total Frames in Take,7305,Total Exported Frames,7305,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.030223,-0.180741,0.002797,-0.983062,1988.271973,1324.339233,1958.073853,2018.710571,1346.949097,1961.469604,2044.850586,1349.136841,1889.499146,1944.864136,1350.691772,1980.595947,1921.126587,1290.165405,1970.882812,2011.853882,1284.962891,1987.693848,2018.565186,1347.038940,1961.295898,2044.821777,1349.141724,1889.335205,1944.710815,1350.578979,1980.347900,1921.406616,1290.426880,1970.799805,2011.756836,1284.078247,1987.913818,-4686.382324,1031.088501,-2073.412354,-4302.337891,1031.244873,-2419.571777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.032919,-0.178137,0.002837,-0.983451,1988.236328,1324.534668,1957.720947,2018.633179,1347.194824,1961.156372,2045.148315,1349.028809,1889.313232,1944.683350,1350.959717,1979.875000,1921.060303,1290.357300,1970.358887,2011.703491,1285.341187,1987.672852,2018.768799,1347.379150,1961.346924,2045.013184,1349.077148,1889.243408,1944.434814,1350.795410,1979.507935,1920.947510,1290.693604,1970.423340,2012.212769,1284.737671,1987.900879,-4686.438477,1030.747803,-2073.460938,-4301.968750,1030.828125,-2419.679443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.035263,-0.177333,0.000706,-0.983519,1988.398804,1325.196167,1958.299072,2018.675049,1348.023560,1961.690918,2045.285645,1349.715820,1889.879639,1944.679810,1351.484619,1980.288208,1921.378784,1290.726685,1970.971558,2012.020874,1286.237915,1988.435669,2018.943848,1347.878052,1962.085815,2045.100464,1349.704224,1889.975708,1944.575562,1351.157959,1980.285767,1921.187134,1291.022339,1970.985474,2012.384888,1286.712158,1988.352051,-4687.400391,1030.149048,-2073.653564,-4302.460938,1030.056396,-2419.908691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.034968,-0.178621,-0.000663,-0.983296,1988.561279,1325.605957,1958.955933,2018.789551,1348.505249,1962.289795,2045.201050,1350.339233,1890.408569,1944.836792,1351.762207,1981.091064,1921.662109,1290.956055,1971.773682,2012.362061,1286.675293,1988.987183,2018.988647,1348.413208,1962.430420,2045.087769,1350.305542,1890.517822,1945.151245,1351.199341,1981.363403,1921.509888,1291.019531,1971.766602,2012.183228,1287.534058,1988.824829,-4688.108887,1029.937134,-2073.818848,-4303.812012,1029.792725,-2420.024902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.035703,-0.179375,-0.000714,-0.983133,1988.297241,1325.411987,1959.141724,2018.523438,1348.325439,1962.395996,2044.823608,1350.064331,1890.471436,1944.598633,1351.586426,1981.306641,1921.428711,1290.759766,1972.112549,2012.156494,1286.532104,1989.192261,2018.741577,1348.186768,1962.219727,2044.865845,1350.026611,1890.472046,1944.974243,1351.061279,1981.834473,1921.210327,1290.647095,1971.918091,2011.656738,1287.575195,1989.169312,-4687.993164,1030.280762,-2073.967529,-4303.800293,1030.485718,-2420.069336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.034219,-0.180111,0.001898,-0.983049,1988.062500,1324.820435,1958.599854,2018.423584,1347.554077,1961.859985,2044.640503,1349.284546,1889.905029,1944.542969,1351.200439,1980.873047,1921.013428,1290.525635,1971.589111,2011.737549,1285.745239,1988.542847,2018.494385,1347.368164,1961.531128,2044.707031,1349.333740,1889.713379,1944.855347,1350.670776,1981.213867,1921.145874,1290.576904,1971.359497,2011.014893,1286.110107,1988.819336,-4686.985352,1031.043701,-2073.629150,-4303.011230,1031.082642,-2419.824219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.031030,-0.181082,0.003538,-0.982972,1987.868896,1324.306396,1957.941650,2018.336548,1346.886230,1961.275391,2044.431396,1348.909424,1889.283569,1944.507202,1350.752197,1980.443481,1920.691650,1290.235962,1970.858398,2011.423828,1284.957153,1987.619141,2018.282593,1347.041382,1961.255981,2044.358765,1348.960083,1889.110474,1944.399536,1350.638550,1980.251709,1920.897339,1290.537720,1970.747437,2011.550415,1284.143188,1987.921997,-4686.174316,1031.145020,-2073.337891,-4302.164062,1031.244995,-2419.553955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.033773,-0.178709,0.001798,-0.983321,1987.984741,1324.787720,1958.009521,2018.333496,1347.522339,1961.377197,2044.755005,1349.323120,1889.498657,1944.398560,1351.141357,1980.182983,1920.903687,1290.472168,1970.776001,2011.579712,1285.687866,1987.983521,2018.569702,1347.493286,1961.597412,2044.567871,1349.371338,1889.434570,1944.138184,1351.053955,1979.906616,1920.744629,1290.715454,1970.751587,2012.014404,1285.469360,1988.140747,-4686.597656,1030.661987,-2073.489990,-4302.069336,1030.663086,-2419.706299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.035290,-0.178692,-0.000639,-0.983272,1988.178467,1325.445190,1958.758057,2018.405884,1348.348511,1962.072754,2044.806763,1350.138062,1890.186401,1944.455444,1351.612793,1980.882812,1921.283325,1290.799316,1971.607788,2011.985962,1286.535400,1988.810913,2018.687744,1348.053467,1962.412598,2044.640015,1350.056274,1890.201416,1944.440674,1351.243042,1980.827393,1921.087402,1291.001465,1971.506348,2012.172974,1287.151855,1988.622681,-4687.506836,1030.089844,-2073.647949,-4302.887207,1029.824341,-2419.872803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.033611,-0.179930,-0.001253,-0.983104,1988.282959,1325.725586,1959.411255,2018.506714,1348.633057,1962.729614,2044.723999,1350.688477,1890.783203,1944.602905,1351.792480,1981.738525,1921.438477,1290.999634,1972.309082,2012.186768,1286.723145,1989.266846,2018.679321,1348.531128,1962.699097,2044.678467,1350.624390,1890.875488,1944.973755,1351.288452,1981.917480,1921.201172,1290.975464,1972.216064,2011.911865,1287.609009,1989.089355,-4688.269043,1029.929932,-2073.979248,-4303.993652,1029.838745,-2420.100830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
